store,sido,gungu,address,phone
서울명지대점,서울,서대문구,서울 서대문구 증가로10길 46 (남가좌동),02-3152-8260
거여역점,서울,송파구,서울 송파구 양산로 42 (거여동) 1층 3호 (거여동),02-401-6061
양재점,서울,서초구,서울 서초구 동산로13길 10 (양재동) 1층,02-2057-0567
상계점,서울,노원구,서울 노원구 한글비석로31길 32 (상계동) 1층,02-937-6660
월계점,서울,노원구,서울 노원구 월계동 18-1 지하 1층,02-3296-0060
전농점,서울,동대문구,"서울 동대문구 사가정로 148 (전농동, 전농 SK아파트) 2층 207호",02-2213-6037
잠실파크리오점,서울,송파구,"서울 송파구 올림픽로 435 (신천동, 파크리오)",02-414-9660
위례신도시점,서울,송파구,"서울 송파구 위례광장로 136 (장지동, 위례아이파크) 상가3동 C225호",02-402-6606
올림픽공원역점,서울,송파구,"서울 송파구 방이동 89-11 (올림픽프라자상가 2층, 28호)",02-409-6060
염창목동점,서울,강서구,"서울 강서구 공항대로65길 26 (염창동, 태선빌딩) 1층",02-3665-3917
압구정점,서울,강남구,"서울 강남구 압구정로42길 36 (신사동, 금광아크존1) 1층 104호",02-546-9777
암사선사점,서울,강동구,"서울 강동구 상암로3길 8 (암사동, 암사동정웅빌딩) 1층",02-426-9060
암사롯데캐슬점,서울,강동구,"서울 강동구 고덕로 133 (암사동, 강동롯데캐슬퍼스트아파트)",02-6406-9669
신천점,서울,송파구,서울 송파구 잠실동 190-7 1층,02-415-3429
서초점,서울,서초구,"서울 서초구 서초중앙로 188 (서초동, 아크로비스타) 상가 지하 A 302-2",02-592-2785
서울화곡점,서울,강서구,서울 강서구 등촌로 17 (화곡동) 1층,02-2062-1160
서울종암점,서울,성북구,서울 성북구 종암동 104-1 SK아파트 상가동 114호,02-909-6095
서울장안점,서울,동대문구,서울 동대문구 답십리로 309 (장안동) 1층 3호,02-2248-6060
서울자양점,서울,광진구,서울 광진구 뚝섬로43길 13 (자양동) 1층,02-444-9965
서울공릉점,서울,노원구,서울 노원구 동일로198길 81 (공릉동) 103호,02-973-8999
반포자이점,서울,서초구,"서울 서초구 사평대로45길 10-25 (반포동, 베리타스타운) 11호",02-599-8806
서울미아점,서울,강북구,"서울 강북구 삼양로27길 95 (미아동, 두산위브트레지움아파트) 109호",02-945-8283
문정점,서울,송파구,"서울 송파구 송이로32길 37 (문정동, 문정푸르지오아파트) 1차상가 110호",02-402-4940
마곡점,서울,강서구,"서울 강서구 마곡서로 168 (마곡동, 마곡럭스나인오피스텔엘동)",02-3661-0666
도곡렉슬점,서울,강남구,"서울 강남구 선릉로 225 (도곡동, 도곡렉슬아파트)",02-578-9982
대치점,서울,강남구,"서울 강남구 남부순환로 2927 (대치동, 대치 클래시아) 1층 114호",02-565-9660
노량진점,서울,동작구,서울 동작구 만양로14길 24 (노량진동) 1층,02-822-5082
구의광장점,서울,광진구,"서울 광진구 광나루로56길 34 (구의동, 구의현대2단지)",02-454-6092
경리단길점,서울,용산구,서울 용산구 이태원동 5-25 1층,02-6743-1234
개포점,서울,강남구,"서울 강남구 삼성로 38 (개포동, 개포빌딩)",02-459-9660
경기광주오포점,경기,광주시,경기 광주시 오포읍 신현로 28 나동 1층,031-714-6066
안산대부도점,경기,안산시,경기 안산시 단원구 대부황금로 1487 (대부북동) 1층(대북부동),032-890-4260
경기남양주다산지금점,경기,남양주시,경기 남양주시 다산지금로 124-50 (다산동) 1층,031-567-6077
경기가평점,경기,가평군,경기 가평군 가평읍 장터2길 6-6,031-582-1230
경기부천원종점,경기,부천시,경기 부천시 고강로40번길 58 (원종동) 1층 일부호(원종동),032-679-6060
경기구리인창점,경기,구리시,경기 구리시 동구릉로53번길 79 (인창동) 1층(인창동),031-565-4760
경기성남고등동점,경기,성남시,경기 성남시 수정구 고등로5길 2 (고등동) 101호 102호(아이에스타워1),031-723-8500
경기이천마장신도시점,경기,이천시,경기 이천시 마장면 중앙로10번길 16-11 1동 1층,031-637-0324
경기부천역점,경기,부천시,경기 부천시 부천로 8 (심곡동) 1층 일부호,032-665-6066
경기성남금광상대원점,경기,성남시,경기 성남시 중원구 금상로 50 (상대원동) 1층 일부호(상대원동),031-741-6060
경기고양향동신도시점,경기,고양시,"경기 고양시 덕양구 향동동 529 123호(향동동, 향동퍼스트타워)",02-3159-6072
안양호계점,경기,안양시,"경기 안양시 동안구 경수대로 567 (호계동) 1층 101호(호계동, 풍천빌딩)",031-453-1160
김포마송점,경기,김포시,경기 김포시 통진읍 김포대로2250번길 48 1동 1층 101호,031-984-6082
여주터미널점,경기,여주시,경기 여주시 세종로79번길 5 (홍문동),031-884-6077
연천전곡점,경기,연천군,경기 연천군 전곡읍 전곡로144번길 5 1동,031-835-0727
의왕오전고천점,경기,의왕시,"경기 의왕시 경수대로 262 (오전동, 서해그랑블) 1층 116호",031-429-6082
안양관양점,경기,안양시,경기 안양시 동안구 동편로 22 (관양동) 1층 106호,031-425-1160
서판교점,경기,성남시,경기 성남시 분당구 운중로277번길 46-6 (판교동) 1층 102호,031-709-8960
김포한강메트로자이점,경기,김포시,"경기 김포시 걸포2로 83 (걸포동, 한강메트로자이1단지) 1층 113호",031-997-6080
남양주덕소점,경기,남양주시,경기 남양주시 와부읍 수레로 42 1층 60계치킨 남양주덕소점,031-576-6082
파주적성점,경기,파주시,경기 파주시 적성면 솥뒤로 10 1층 일부,031-958-6660
미사풍산점,경기,하남시,경기 하남시 미사강변중앙로111번길 28 (풍산동) 1층 101호,031-792-6082
용인한숲시티점,경기,용인시,경기 용인시 처인구 남사면 한숲로 45 139호 (한숲스퀘어 옐로우상가),031-332-6082
용인수지구청점,경기,용인시,경기 용인시 수지구 풍덕천로139번길 6-7 (풍덕천동) 1층,031-889-6082
안산호수법조타운점,경기,안산시,경기 안산시 단원구 광덕2로 163-11 (고잔동) 105호 (21세기빌딩),031-410-8260
평택소사벌점,경기,평택시,경기 평택시 비전5로 20-9 (비전동) 129호,031-656-8260
화성봉담점,경기,화성시,경기 화성시 봉담읍 동화길 51 프리미엄원희캐슬 봉담 1층 116호,031-295-6066
용인기흥구청점,경기,용인시,경기 용인시 기흥구 구갈로60번길 5 (구갈동) 1층 5호,031-274-6082
김포풍무점,경기,김포시,"경기 김포시 풍무2로 15 (풍무동) 1동 1층 101호, 103호 (유프라자)",031-982-6092
광명철산점,경기,광명시,경기 광명시 철산로30번길 20 (철산동) 1층,02-2611-6077
경기동탄목동점,경기,화성시,"경기 화성시 목동 산 18 109, 110, 111호",031-376-1279
경기평택안중점,경기,평택시,경기 평택시 안중읍 안중로18번길 7 1층,"031-682-6092, 031-683-6092"
경기시흥시청점,경기,시흥시,"경기 시흥시 새재로 11 (장현동, J-PARK (주상복합아파트)) 1층 103호",031-311-6003
화성시청점,경기,화성시,경기 화성시 남양읍 역골로 21 104호,031-357-6392
파주교하점,경기,파주시,경기 파주시 책향기로 423 (동패동) 1층 129호,031-945-6092
용인죽전점,경기,용인시,경기 용인시 수지구 죽전동 548 106호,031-898-0449
김포사우점,경기,김포시,경기 김포시 돌문로62번길 13-14 (사우동) 1층 102호,031-985-8760
용인동백점,경기,용인시,경기 용인시 기흥구 동백5로 21-8 (중동) 1층 119호,031-285-6082
구리수택점,경기,구리시,"경기 구리시 원수택로64번길 9 (수택동, 수택동 성원상떼빌) 1층 110호",031-558-4760
오산시청점,경기,오산시,경기 오산시 운천로 80-11 (오산동) 105호 (운암프라자2차),031-377-6092
시흥장곡점,경기,시흥시,경기 시흥시 장곡로49번길 4 (장곡동) 1층,031-315-6082
수원화서점,경기,수원시,경기 수원시 팔달구 화서동 175-2 1층,031-256-0060
시흥능곡점,경기,시흥시,"경기 시흥시 승지로 54 (능곡동) 102호, 103호",031-317-6066
용인보라점,경기,용인시,경기 용인시 기흥구 한보라2로14번길 3-5 (보라동) 101호,031-274-6066
동탄테크노밸리점,경기,화성시,경기 화성시 동탄영천로 81-5 (영천동) 골든프라자 1층 105호 106호,031-377-1278
오리미금점,경기,성남시,경기 성남시 분당구 구미로9번길 25 (구미동) 1층 105-1호,031-715-5260
성포월피점,경기,안산시,"경기 안산시 상록구 예술광장로 31 (월피동) 109호, 110호",031-401-0060
안산초지신도시점,경기,안산시,경기 안산시 단원구 초지로 90 (초지동) 117호 (태영프라자),031-415-2306
동판교점,경기,성남시,"경기 성남시 분당구 대왕판교로606번길 58 (삼평동) 1층 1-78, 79 (삼평동, 판교푸르지오월드마크)",031-706-6066
파주금촌점,경기,파주시,경기 파주시 금빛로 15 (금촌동) 102호 (미라클프라자),031-949-8260
시흥정왕2점,경기,시흥시,경기 시흥시 정왕대로 74 (정왕동) A동 113호 (트윈프라자),031-432-9291
안산선부점,경기,안산시,경기 안산시 단원구 달미로 63 (선부동) 한양프라자 127호,031-439-0060
경기배곧신도시점,경기,시흥시,"경기 시흥시 서울대학로278번길 26 (정왕동) 104호(정왕동, 시흥배곧 아브뉴프랑 세트럴오렌지)",031-497-9100
동탄카림에비뉴점,경기,화성시,"경기 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0) 지하 1층",031-373-1277
경기덕정점,경기,양주시,경기 양주시 독바위로 79-13 (덕정동) A동 205호,031-857-6363
파주문산점,경기,파주시,경기 파주시 문산읍 방촌로 1725 1층,031-954-0660
시흥정왕점,경기,시흥시,경기 시흥시 중심상가3길 24 (정왕동) 1층 102호,031-499-7153
군포송정지구점,경기,군포시,경기 군포시 송부로34번길 23 (도마교동) 1층,031-417-7179
평택합정비전점,경기,평택시,경기 평택시 중앙2로 149 (합정동) 1층 (합정동),031-653-6846
경기이천점,경기,이천시,경기 이천시 어재연로 42 (창전동),031-631-3040
송탄이충점,경기,평택시,경기 평택시 경기대로 1286 (이충동) 106호 107호 (명성빌딩),031-662-6060
수원광교점,경기,수원시,"경기 수원시 영통구 센트럴타운로 103 (이의동) 1층 105호(이의동, 더블유타워)",031-212-6025
부천송내역점,경기,부천시,경기 부천시 송내대로42번길 17 (송내동) 1층 일부호,032-657-8033
성남야탑점,경기,성남시,경기 성남시 분당구 야탑로 103 (야탑동) 108호 (노블리치2 오피스텔),031-781-1616
경기퇴계원점,경기,남양주시,경기 남양주시 퇴계원면 경춘북로558번길 4 1층,031-529-6888
오산세교궐동점,경기,오산시,경기 오산시 수목원로 466 (금암동) 105호,031-377-6082
경기안성점,경기,안성시,경기 안성시 남파로 73-3 (신소현동) 101호,031-671-1160
김포고촌점,경기,김포시,"경기 김포시 고촌읍 은행영사정로 23 23, 상가동 20호",031-985-6060
양주옥정점,경기,양주시,경기 양주시 옥정로 139 (옥정동) 다올스퀘어빌딩 102호,031-866-8842
송산신도시점,경기,화성시,"경기 화성시 수노을1로 147 (새솔동, 송산그린시티요진와이시티) 상가동 113호",031-356-6059
수원광교호수공원점,경기,수원시,"경기 수원시 영통구 광교호수공원로 80 (원천동, 광교아이파크) 판매케이동 176, 177호",031-212-9909
성남남한산성점,경기,성남시,경기 성남시 수정구 산성대로 495 (양지동) 1층,031-746-6060
평촌범계점,경기,안양시,경기 안양시 동안구 관평로170번길 43 (관양동) 훼미리타운 1층 일부 120호,031-383-6060
동탄호수점,경기,화성시,경기 화성시 동탄산척로2가길 33 (산척동) 102호,031-373-6066
안산신길점,경기,안산시,경기 안산시 단원구 신길로1길 32 (신길동) 1층,031-494-9293
용인역북점,경기,용인시,경기 용인시 처인구 명지로40번길 13 (역북동) 102호,031-322-1160
김포구래점,경기,김포시,경기 김포시 김포한강7로 93 (구래동) 102호,031-989-6663
남양주오남점,경기,남양주시,경기 남양주시 오남읍 진건오남로 814 102호,031-529-1160
안산중앙고잔점,경기,안산시,경기 안산시 단원구 고잔동 541 안산종합상가 2동 2122호,031-402-4066
광주태전점,경기,광주시,경기 광주시 고불로 65 (태전동),031-764-1060
운정이마트점,경기,파주시,경기 파주시 미래로 369-27 (동패동) 106호 (동패동),031-959-6060
포천송우리점,경기,포천시,경기 포천시 소흘읍 태봉로166번길 13,031-541-0666
김포장기점,경기,김포시,경기 김포시 김포한강2로23번길 42 (장기동) 1층 110호,031-997-6068
수원율전점,경기,수원시,경기 수원시 장안구 율전동 554 106호,031-269-6944
일산위시티점,경기,고양시,경기 고양시 일산동구 위시티3로 53-10 (식사동) 1층,031-968-7778
성남수진점,경기,성남시,"경기 성남시 중원구 광명로 89 (성남동, 성남 센트럴 푸르지오 시티) 1층 107호",031-758-8245
경기동두천점,경기,동두천시,"경기 동두천시 중앙로 116 (지행동, 두손프라자) 110호",031-868-8292
평택동삭점,경기,평택시,"경기 평택시 상서재로 50 (동삭동) 1동 0003호 (동삭동, 4블럭)",031-658-6060
다산신도시점,경기,남양주시,경기 남양주시 다산중앙로146번길 12-14 (다산동) 메트로타워 1층 108호,031-569-6060
소하일직점,경기,광명시,경기 광명시 성채안로 38 (소하동) 1층,02-899-7281
청북신도시점,경기,평택시,"경기 평택시 청북읍 옥길리 1071 119호, 120호",031-683-0060
화성병점점,경기,화성시,"경기 화성시 효행로 1052 (병점동, 씨네샤르망) , A동 1층 101호",031-225-6060
향남신도시점,경기,화성시,경기 화성시 향남읍 발안양감로 195 (하길리),031-353-1979
수원팔달점,경기,수원시,경기 수원시 팔달구 남수동 16-19 1층,031-244-5296
파주운정점,경기,파주시,경기 파주시 와동동 1302-3 1층,031-947-8860
시흥은행점,경기,시흥시,경기 시흥시 은행동 530-4 1층,031-315-5660
경기양주고읍점,경기,양주시,경기 양주시 고읍남로191번길 74 (광사동) 101호,031-821-6660
군포점,경기,군포시,경기 군포시 삼성로20번길 3-41 (부곡동) 1층 101호,031-393-9060
NEW 고양화정점 (신규오픈),경기,고양시,경기 고양시 덕양구 화중로138번길 49 (화정동) 1층,031-968-6082
부천중동점,경기,부천시,경기 부천시 석천로 105 (중동) 111호 (보람마을동남상가),032-321-6065
안양박달점,경기,안양시,경기 안양시 만안구 양화로 125 (박달동) 1층 (박달동),031-469-4794
목감점,경기,시흥시,"경기 시흥시 목감남서로 92-30 (산현동, 목감레이크 푸르지오) 상가 402동 1호",031-410-0060
부천범박점,경기,부천시,"경기 부천시 범안로96번길 23 (범박동, 부천범박힐스테이트4단지아파트) 상가동 1층 110호",032-345-5660
남양주평내호평점,경기,남양주시,경기 남양주시 호평로 50 (호평동) 1층,031-593-6066
수지성복점,경기,용인시,"경기 용인시 수지구 심곡로 87 (성복동, 수지 제일 아이조움) B121, 122호",031-262-6082
광주송정점,경기,광주시,경기 광주시 송정동 112-6 1층,031-797-1160
동탄1신도시점,경기,화성시,경기 화성시 반송동 40 102호 (반송동),031-8003-6013
녹양가능점,경기,의정부시,경기 의정부시 녹양로62번길 19 (녹양동) 1층 (녹양동),031-876-8388
화성기안점,경기,화성시,경기 화성시 기안동 355-2,031-225-5302
하남신장점,경기,하남시,"경기 하남시 하남유니온로 70 (신장동, 하남유니온시티에일린의뜰) 에일린의 뜰 상가동 106호",031-791-9995
일산주엽점,경기,고양시,"경기 고양시 일산서구 중앙로 1388 (주엽동, 태영프라자) 지하 1층 B30호",031-921-0988
일산마두점,경기,고양시,경기 고양시 일산동구 마두동 730-2 102호,031-902-9660
일산동점,경기,고양시,경기 고양시 일산서구 일산동 1101 후곡마을 청구아파트 상가 102호,031-922-7760
의정부신곡장암점,경기,의정부시,경기 의정부시 발곡로 6 (신곡동) 해송빌딩 105호,031-877-8686
의정부 범골점,경기,의정부시,경기 의정부시 호동로 53 (호원동) 1층 롯데슈퍼의정부점 내,031-875-6006
의정부 민락점,경기,의정부시,경기 의정부시 오목로225번길 24-10 (민락동) 102호,031-853-8285
의왕포일점,경기,의왕시,경기 의왕시 포일동 662 파레사타워 113호,031-421-6061
의왕내손점,경기,의왕시,경기 의왕시 내손동 643-6,031-421-2260
용인보정점,경기,용인시,"경기 용인시 기흥구 보정로 32 (보정동, 지젤스포츠클럽) 107호",031-261-8288
안양샛별한양점,경기,안양시,"경기 안양시 동안구 동안로 194 (비산동, 한양스포츠센타) 134호",031-388-5959
안양산본점,경기,군포시,"경기 군포시 금산로 89 (산본동, 래미안 하이어스 아파트 상가(145동)) 145동 1102호",031-391-2677
안양 메가트리아점,경기,안양시,경기 안양시 만안구 태평로52번길 37 (안양동) 상가동 106호,031-466-6123
안성공도점,경기,안성시,경기 안성시 공도읍 만정리 880 디자인시티블루밍 108호,031-658-8260
안산상록수점,경기,안산시,경기 안산시 상록구 샘골로 166 (본오동) 1층,031-408-1792
의정부신곡금오점,경기,의정부시,"경기 의정부시 장곡로628번길 26 (신곡동, 금오프라자) 1층, 106호",031-851-7789
수원호매실점,경기,수원시,경기 수원시 권선구 금곡로102번길 20 (금곡동) 센타프라자 111호,031-295-9992
수원정자점,경기,수원시,"경기 수원시 장안구 영화로71번길 24 (정자동, 수원정자금강에스쁘아아파트)",031-241-6933
수원영통점,경기,수원시,경기 수원시 영통구 영일로 25 (영통동),031-203-6660
수원세류점,경기,수원시,경기 수원시 권선구 세지로 65 (세류동) 1층 101호,031-898-6625
수원매탄점,경기,수원시,경기 수원시 영통구 삼성로168번길 68 (매탄동) 1층,031-213-2136
수원권선점,경기,수원시,"경기 수원시 권선구 동수원로177번길 40 (권선동, 수원아이파크시티8단지) 157호",031-221-6061
성남 도촌점,경기,성남시,"경기 성남시 중원구 도촌로8번길 14 (도촌동, 도촌대덕프라자2) 106호",031-753-8293
서현점,경기,성남시,"경기 성남시 분당구 중앙공원로40번길 42 (서현동, 우성종합상가) 1층 111호",031-703-6089
분당정자점,경기,성남시,경기 성남시 분당구 느티로63번길 8 (정자동) 1층,031-714-2992
부천도당점,경기,부천시,"경기 부천시 삼작로 294 (도당동) (홈플러스 익스프레스 도당점 1층_X4, YA호)",032-672-7760
미사점,경기,하남시,경기 하남시 미사강변북로30번길 22 (망월동) 101호,031-795-6082
매탄시장점,경기,수원시,경기 수원시 영통구 중부대로246번길 17 (매탄동) 1층,031-212-2600
남양주화도점,경기,남양주시,경기 남양주시 화도읍 비룡로33번안길 6 (마석우리),031-594-8660
남양주진접점,경기,남양주시,경기 남양주시 진접읍 해밀예당1로235번길 9-7 (금곡리),031-571-6082
남양주별내점,경기,남양주시,경기 남양주시 두물로27번길 30-3 (별내동) 1층,031-574-8260
김포운양점,경기,김포시,경기 김포시 운양동 1297-3 에비뉴파크 1층 124호,031-997-9737
김포양촌점,경기,김포시,"경기 김포시 양촌읍 황금로 117 (학운리, 이젠 아파트형 공장) 디동 122호",031-999-7272
구리갈매점,경기,구리시,경기 구리시 갈매중앙로55번길 96-15 (갈매동) 1층,031-527-8760
광명소하점,경기,광명시,경기 광명시 하안로 200 (소하동) 102호,02-897-6061
과천점,경기,과천시,경기 과천시 원문동 4 레미안슈르상가 지하,02-507-2528
고양행신점,경기,고양시,"경기 고양시 덕양구 충경로 52 (행신동, 남정씨티프라자) 1층 111호",031-971-9589
고양삼송점,경기,고양시,경기 고양시 덕양구 세솔로 102 (삼송동),02-381-7123
고양벽제점,경기,고양시,"경기 고양시 덕양구 푸른마을로 6 (고양동, 고양 e PLAZA) 1층",031-964-5060
인천문학관교점,인천,미추홀구,인천 미추홀구 매소홀로576번길 18 (문학동) 1층,032-421-5560
인천학익점,인천,미추홀구,"인천 미추홀구 한나루로 353 (학익동, 유화주택) 101호",032-467-6061
인천부평동암점,인천,부평구,인천 부평구 백범로468번길 33-1 (십정동) 1층,032-439-0060
인천향촌만수점,인천,남동구,인천 남동구 만수서로83번길 10 (만수동) 1층,032-472-6060
인천도화점,인천,미추홀구,인천 미추홀구 숙골로 116 (도화동) 스카이프라자1 104호,032-874-7125
인천연수점,인천,연수구,인천 연수구 용담로118번길 7 (연수동) 천지프라자 1층 101호,032-815-9960
인천구월점,인천,남동구,"인천 남동구 선수촌공원로23번길 10-6 (구월동) 104호(구월동, 은성프라자)",032-471-6666
동인천역북부점,인천,동구,인천 동구 송현동 99-12 1층,032-772-6001
인천만수점,인천,남동구,인천 남동구 담방로48번길 7-5 (만수동) 1층,032-461-0060
인천간석점,인천,남동구,인천 남동구 석산로 166 (간석동) 104호,032-473-6092
인천영종운서점,인천,중구,인천 중구 운서동 2803-1 메가스타영종 제 1동 1층 106호 107호,032-752-8260
인천서구청점,인천,서구,인천 서구 승학로236번길 28 (심곡동),032-567-6060
인천동춘점,인천,연수구,인천 연수구 먼우금로 88 (동춘동) 상산빌딩 106호,032-815-4142
송도대림e편한세상점,인천,연수구,인천 연수구 송도동 319-1 1층,032-832-6066
영종하늘도시점,인천,중구,인천 중구 하늘달빛로 88 (중산동) 103호,032-747-1060
송도센트럴파크점,인천,연수구,인천 연수구 해돋이로 161 (송도동) 101호 102호,032-833-6066
인천가좌점,인천,서구,인천 서구 장고개로337번길 7 (가좌동) A동 106호,032-572-1160
인천계양점,인천,계양구,인천 계양구 임학동로 3 (임학동) 101호,032-556-6060
인천용현점,인천,미추홀구,인천 미추홀구 토금북로 33 (용현동),032-888-6082
인천효성점,인천,계양구,인천 계양구 봉오대로 446 (효성동) 1층,032-545-6660
인천주안점,인천,미추홀구,인천 미추홀구 길파로 21 (주안동) 1층,032-875-8141
인천서창점,인천,남동구,인천 남동구 서창남순환로216번길 17 (서창동) 스카이플러스 111호,032-467-6066
인천마전점,인천,서구,"인천 서구 완정로 70 (마전동, 영남탑스빌아파트 상가) 1층 118호",032-563-0405
인천논현점,인천,남동구,인천 남동구 에코중앙로156번길 5-26 (논현동) 1층,032-422-1325
인천청라점,인천,서구,인천 서구 청라루비로42번길 6-12 (경서동) 1층 103호,032-565-6060
송도라이크홈점,인천,연수구,"인천 연수구 첨단대로 80 (송도동, 레지던스 라이크홈) A동 106호",032-811-9960
인천신현점,인천,서구,"인천 서구 봉오재1로 49 (신현동, 루원시티루에블리) 104동 앞상가 60계치킨상가동 104호",032-581-6060
부평삼산점,인천,부평구,"인천 부평구 후정동로 21 (삼산동, 화령빌딩)",032-503-6060
부평동아점,인천,부평구,"인천 부평구 부평문화로 37 (부평동, 부평동아아파트) 에이동 지하층 5호",032-505-5557
경인교대점,인천,계양구,인천 계양구 계산동 969-19 A호 101호 60계 경인교대점,032-556-8260
강원춘천우두점,강원,춘천시,강원 춘천시 충열로16번길 5-15 (우두동) 1층,033-256-1060
강원문막점,강원,원주시,강원 원주시 문막읍 건등로 48,033-731-6070
동해북삼점,강원,동해시,강원 동해시 동회동 103-2 108호,033-522-6066
강원태백점,강원,태백시,강원 태백시 황지로 26 (황지동),033-552-6053
강원영월점,강원,영월군,강원 영월군 영월읍 관풍헌길 35 1층,033-374-6660
철원동송점,강원,철원군,강원 철원군 동송읍 금학로 210,033-455-1160
강원양구점,강원,양구군,강원 양구군 양구읍 사명길 118-29,033-482-8292
